set,MWa,logKowb,Mptc,LogSaqd,LogSoce,Hdf,Hag,Texpi,Skin thicknessj,logkpl
t,139.1,1.91,387.0,-4,-2.09,1.0,4.0,298.0,0.1,-2.2500000000000004
t,171.03,2.92,270.0,-5.586217237906348,-2.6662172379063485,0.0,0.0,305.0,0.128,-1.8920273597686492
t,171.03,2.92,270.0,-5.586217237906348,-2.6662172379063485,0.0,0.0,305.0,0.075,-1.5451197935964611
t,108.1,1.04,258.0,-3.3979400086720375,-2.3579400086720375,1.0,1.0,298.0,0.1,-2.222059991327963
t,184.27,3.67,183.0,-6.18531356201768,-2.5153135620176803,0.0,2.0,305.0,0.128,-1.8243453715551945
t,184.27,3.67,183.0,-6.18531356201768,-2.5153135620176803,0.0,2.0,305.0,0.075,-2.1128900732676494
t,134.18,1.791,304.5,-4.803176123288123,-3.012176123288123,1.0,1.0,305.0,0.128,-1.4789034162109513
t,134.18,1.791,304.5,-4.803176123288123,-3.012176123288123,1.0,1.0,305.0,0.075,-1.5432991634942306
t,117.15,1.87,301.0,-5.000298986188565,-3.130298986188565,0.0,1.0,305.0,0.128,-1.5107606235200577
t,117.15,1.87,301.0,-5.000298986188565,-3.130298986188565,0.0,1.0,305.0,0.075,-1.343360498292811
t*,164.24,2.89,310.95,-5.344408145578639,-2.454408145578639,1.0,1.0,310.0,0.1,-0.9469215565165803
t,154.25,3.56,258.0,-6.129559481210065,-2.5695594812100646,1.0,1.0,305.0,0.128,-1.0140143705888278
t,154.25,3.56,258.0,-6.129559481210065,-2.5695594812100646,1.0,1.0,305.0,0.075,-0.9866193802049792
t,173.0,2.49,337.0,-4.060480747381382,-1.570480747381381,1.0,1.0,298.0,0.1,-1.439519252618619
t,108.1,1.94,309.0,-3.721246399047171,-1.781246399047171,1.0,1.0,298.0,0.1,-1.7487536009528295
t,108.1,1.95,309.0,-3.6020599913279625,-1.6520599913279623,1.0,1.0,310.0,0.01,-0.9208187539523752
t,128.6,2.43,317.0,-3.721246399047171,-1.2912463990471708,1.0,1.0,298.0,0.1,-1.4487536009528292
t,108.1,-0.25,419.0,-3.3467874862246565,-3.5967874862246565,4.0,2.0,305.0,0.1,-3.619788758288394
t,108.1,1.96,285.0,-3.638272163982407,-1.6782721639824072,1.0,1.0,298.0,0.1,-1.8117278360175935
t,110.1,0.76,384.0,-2.1870866433571443,-1.4270866433571443,2.0,2.0,298.0,0.1,-3.6229133566428553
