Compound,logkpl,MLogP,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings5,nRings6,WPATH,WPOL,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,HybRatio,nAtom,nAromBond,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,ALogP,ALogp2,AMR,khs.sCH3,khs.dCH2,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.ssNH,khs.aaNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.dsssP,khs.dS,khs.aaS,khs.ddssS,khs.sCl,khs.sBr,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBase,Fsp3,PetitjeanNumber,topoShape,bpol,VABC,ECCEN,VAdjMat,JPLogP,nAtomLC,nAcid,XLogP,apol,LipinskiFailures,Zagreb,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,nRotB,FMF,TopoPSA,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,tpsaEfficiency,nAtomP,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,fragC,Kier1,Kier2,Kier3,naAromAtom,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nB,MolIP
Corticosterone,-2.938547520912807,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-2.753501419204199,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-2.4308602745275403,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-1.8886030506543936,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-1.2209810280851294,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-2.912218582190458,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-2.0474981521369764,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-1.9160675983613742,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-1.8082137524178006,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-1.5803746391122568,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-2.899629454882437,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-2.360912128916263,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-1.9593976598859268,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
Corticosterone,-1.6955094722265123,3.33,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1305.0,53.0,2.757959466,0.23570226,1.044947041,0.19443432,2.146425574,0.219913203,0.842471909,0.165466547,0.80952381,55.0,0.0,0.166666667,4.43919175,4.574516362,1.788854382,9.152369233,22.91579435,6.132761659,9.050330552,6.788339318,0.25,0.858639436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9524,3.81186576,96.2247,2.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71577103,16.00764986,-0.420849573,0.332820565,4.472838827,12.6707279,0.0,0.80952381,0.5,1.0,34.71221,349.5978317,477.0,5.807354922,2.818256025,4.0,0.0,1.704,60.17179,0.0,146.0,51.21229672,2.048491869,10.04073916,10.04073916,0.0,17.98276318,11.80853286,11.71237469,10.57184355,9.445539996,7.614673244,5.679175762,4.309208374,15.33187964,9.865485869,9.419815251,8.437777133,7.326304345,5.608339275,4.129683417,3.016032021,2.0,0.309090909,74.6,0.430266003,-0.106625156,-0.149370157,0.074538217,0.033531015,0.0,0.0,0.083333333,0.384805741,0.970615381,0.0,0.0,0.083333333,0.349072856,0.773729434,0.0,0.0,3.0,1.0,3.0,8.0,4.0,2.0,6.936697888,12.96535304,20.32022528,5.464825528,9.699940832,14.14941282,0.215473412,4.0,28.09787614,29.32836791,47.32464384,56.43120485,55.98137966,2764.04,18.36734694,6.26962963,2.587658721,0.0,2224.879125,2808.222672,4507.393161,4956.675986,4324.453089,28.0,8.211816294
