SMILES,Texpi,logkpl
CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,310,-3.82
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,298,-5.53
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,299,-5.52
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,305,-2.35
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,308,-3.64
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,310,-3.64
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O,310,-3.2
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,298,-3.944
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,299,-4.22
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,300,-3.27
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,308,-3.33
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310,-2.3249056603773584
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,312,-2.59
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,298,-4.395
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,308,-4.75
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,310,-4.01
CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,299,-4.4
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,299,-2.44
CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,299,-3.35
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,298,-2.47
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,299,-3.52
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305,-2.4655
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,310,-2.6719999999999997
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,298,-2.664
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,299,-3.4
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,303,-2.06
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,305,-1.535
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,308,-2.39
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,310,-2.0585714285714283
CC1=C(C=C(C=C1)C(C)C)O,305,-1.25
CC1=C(C=C(C=C1)O)C,298,-1.44
CC1=C(C=CC(=C1)O)Cl,298,-1.26
CC1=C(C=CC(=C1)O)Cl,305,-1.65
CC1=CC(=C(C=C1)C(C)C)O,298,-1.28
CC1=CC(=C(C=C1)C(C)C)O,305,-1.21
CC1=CC(=CC(=C1Cl)C)O,298,-1.23
CC1=CC(=CC(=C1Cl)C)O,305,-1.09
CC1=CC(=CC=C1)O,298,-1.81
CC1=CC2=C(C=C1)OC(=O)C=C2,305,-1.255
CC1=CC=C(C=C1)C#N,305,-1.425
CC1=CC=C(C=C1)O,298,-1.75
CC1=CC=C(C=C1)O,310,-0.92
CC1=CC=CC=C1,310,-0.08
CC1=CC=CC=C1O,298,-1.8
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,298,-4.19
CC=CC1=CC(=C(C=C1)O)OC,305,-1.58
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,310,-3.82
CCC(=O)C,303,-2.35
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,310,-1.82
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,310,-1.9649999999999999
CCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,310,-2.47
CCC1=CC=C(C=C1)O,298,-1.46
CCC=CCC=CCC=CCCCCCCCC(=O)O,310,-2.43
CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO,298,-2.88
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,310,-4.1
CCCCC(CC)COC(=O)C=C,305,-1.9649999999999999
CCCCC1=CC=C(C=C1)O,305,-1.11
CCCCCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,310,-2.0
CCCCCCCCC=CCCCCCCCC(=O)O,310,-2.89
CCCCCCCCCC(=O)O,310,-2.95
CCCCCCCCCCO,298,-1.0750000000000002
CCCCCCCCCCO,308,-1.15
CCCCCCCCCCO,310,-1.7316666666666667
CCCCCCCCCO,298,-1.22
CCCCCCCCCO,310,-1.22
CCCCCCCCO,298,-1.2149999999999999
CCCCCCCCO,303,-1.21
CCCCCCCCO,308,-1.03
CCCCCCCCO,310,-1.28
CCCCCCCCOC(=O)C1=CC=C(C=C1)O,310,-1.906
CCCCCCCO,298,-1.49
CCCCCCCO,303,-1.42
CCCCCCCO,310,-1.49
CCCCCCO,298,-1.89
CCCCCCO,308,-1.49
CCCCCCO,310,-1.89
CCCCCO,298,-2.22
CCCCCO,310,-2.22
CCCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,310,-2.3
CCCCO,298,-2.64
CCCCO,303,-2.52
CCCCO,308,-2.1
CCCCO,310,-2.6
CCCCOC(=O)C1=CC=C(C=C1)O,305,-1.15
CCCCOC(=O)C1=CC=C(C=C1)O,310,-0.98
CCCCOCCO,310,-2.258
CCCCOCCOCCO,305,-2.205
CCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,310,-2.36
CCCO,298,-2.92
CCCO,303,-2.77
CCCO,310,-2.92
CCCOC(=O)C1=CC=C(C=C1)O,305,-1.2349999999999999
CCCOC(=O)C1=CC=C(C=C1)O,310,-1.6766666666666667
CCCOC1=CC=C(C=C1)O,305,-1.8250000000000002
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,298,-2.48
CCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,310,-1.36
CCO,298,-3.1
CCO,308,-2.72
CCO,310,-3.1
CCOC(=O)C1=CC=CC=C1C(=O)OCC,310,-1.71
CCOC(=O)C1=CN=CC=C1,310,-3.0999999999999996
CCOC(=O)C=CC(=O)OCC,305,-1.63
CCOC1=CC2=C(C=C1)C=CC(=O)O2,305,-0.8500000000000001
CCOCC,303,-1.8
CCOCCO,303,-3.6
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,310,-2.06
CC[N+](CC)(CC)CC,298,-3.25
CC[N+](CC)(CC)CC,310,-3.37
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,298,-3.4
CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,305,-2.25
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,303,-4.59
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,305,-3.015
