SMILES,logkpl
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,-1.9649999999999999
CCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,-2.47
CCC1=CC=C(C=C1)O,-1.46
CCC=CCC=CCC=CCCCCCCCC(=O)O,-2.43
CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO,-2.88
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-4.1
CCCCC(CC)COC(=O)C=C,-1.9649999999999999
CCCCC1=CC=C(C=C1)O,-1.11
CCCCCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,-2.0
CCCCCCCCC=CCCCCCCCC(=O)O,-2.89
CCCCCCCCCC(=O)O,-2.95
CCCCCCCCCCO,-1.521111111111111
CCCCCCCCCO,-1.22
CCCCCCCCO,-1.19
CCCCCCCCOC(=O)C1=CC=C(C=C1)O,-1.906
CCCCCCCO,-1.4666666666666668
CCCCCCO,-1.7566666666666666
CCCCCO,-2.22
CCCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,-2.3
CCCCO,-2.5233333333333334
CCCCOC(=O)C1=CC=C(C=C1)O,-1.065
CCCCOCCO,-2.258
CCCCOCCOCCO,-2.205
CCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,-2.36
CCCO,-2.8699999999999997
CCCOC(=O)C1=CC=C(C=C1)O,-1.5662500000000001
CCCOC1=CC=C(C=C1)O,-1.8250000000000002
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,-2.48
CCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,-1.36
CCO,-2.973333333333333
CCOC(=O)C1=CC=CC=C1C(=O)OCC,-1.71
CCOC(=O)C1=CN=CC=C1,-3.0999999999999996
CCOC(=O)C=CC(=O)OCC,-1.63
CCOC1=CC2=C(C=C1)C=CC(=O)O2,-0.8500000000000001
CCOCC,-1.8
CCOCCO,-3.6
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,-2.06
CC[N+](CC)(CC)CC,-3.31
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,-3.4
CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,-2.25
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-3.4457142857142857
CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,-2.52
CO,-3.133333333333333
COC(=O)C1=CC=C(C=C1)O,-1.935
COC(=O)C1=CC=CC=C1C(=O)OC,-1.6
COC(=O)C1=CC=CC=C1O,-1.44
COC(=O)C1=CN=CC=C1,-3.295
COC(=O)CC1=CC=C(C=C1)O,-1.7
COC(C(C=O)O)C(C(CO)O)O,-3.68
COC1=C(C=CC(=C1)CC=C)O,-1.5750000000000002
COS(=O)(=O)C,-1.9899999999999998
C[N+](C)(C)C1=CC2=C(C=C1)C=CC(=C2N=NC3=CC=CC=C3OC)O,-2.77
